07:48 PM 05-11-20172017-11-04 13:01:17,624 INFO [com.cg.dao.AirlineDAOImpl] - Flight Information of following flight number updated: 10N
2017-11-04 13:02:58,130 INFO [com.cg.dao.AirlineDAOImpl] - Flight Information of following flight number updated: 10N
2017-11-04 13:04:37,800 ERROR [com.cg.dao.AirlineDAOImpl] - ORA-01858: a non-numeric character was found where a numeric was expected

2017-11-04 14:24:37,115 INFO [com.cg.dao.AirlineDAOImpl] - Flight Schedule of following flight number updated: 10N
2017-11-04 15:49:26,104 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 15:49:26,119 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 15:49:43,518 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 15:49:43,534 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 15:49:48,534 INFO [com.cg.dao.AirlineDAOImpl] - Flight Schedule of following flight number updated: 10N
2017-11-04 15:55:50,218 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 15:55:50,249 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:27:56,892 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:27:56,924 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:30:54,503 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:30:54,519 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:31:27,665 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:31:27,696 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:31:49,368 INFO [com.cg.dao.AirlineDAOImpl] - Flight Schedule of following flight number updated: 10N
2017-11-04 16:37:33,781 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:37:33,797 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:37:45,971 INFO [com.cg.dao.AirlineDAOImpl] - Flight Schedule of following flight number updated: 10N
2017-11-04 16:39:49,465 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:39:49,496 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:39:59,221 INFO [com.cg.dao.AirlineDAOImpl] - Flight Schedule of following flight number updated: 10N
2017-11-04 16:43:27,946 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:43:27,977 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:44:41,284 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:44:41,315 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:44:59,478 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:44:59,494 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 16:45:14,448 INFO [com.cg.dao.AirlineDAOImpl] - Flight Schedule of following flight number updated: 10N
2017-11-04 17:43:01,397 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: intu
2017-11-04 17:43:01,416 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: intu
2017-11-04 17:43:08,136 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: pune
2017-11-04 17:43:08,182 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: bangalore
2017-11-04 17:43:08,225 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 17:43:12,542 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 17:43:12,577 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 17:43:15,964 INFO [com.cg.dao.AirlineDAOImpl] - Flight occupany details checked for SG-519
2017-11-04 17:43:27,599 INFO [com.cg.dao.AirlineDAOImpl] - intubooked the tickets
2017-11-04 17:43:32,850 INFO [com.cg.dao.AirlineDAOImpl] - Booking information retrieved
2017-11-04 17:46:39,779 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-04 17:46:39,818 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-04 17:46:57,041 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-04 17:46:57,068 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-04 17:46:59,749 INFO [com.cg.dao.AirlineDAOImpl] - customer registered with following username himansh
2017-11-04 17:47:09,355 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 17:47:09,385 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 17:47:12,061 INFO [com.cg.dao.AirlineDAOImpl] - Booking information retrieved
2017-11-04 17:47:17,088 INFO [com.cg.dao.AirlineDAOImpl] - Booking done with following booking id:afsf
2017-11-04 17:50:13,391 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 17:50:13,411 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 17:50:17,771 INFO [com.cg.dao.AirlineDAOImpl] - Booking done with following booking id:asds
2017-11-04 17:52:23,294 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 17:52:23,314 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 17:52:28,866 INFO [com.cg.dao.AirlineDAOImpl] - Booking done with following booking id:1523
2017-11-04 17:52:51,793 INFO [com.cg.dao.AirlineDAOImpl] - Booking done with following booking id:121
2017-11-04 17:54:22,435 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 17:54:22,454 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 17:54:26,315 INFO [com.cg.dao.AirlineDAOImpl] - Booking done with following booking id:124
2017-11-04 17:54:35,748 INFO [com.cg.dao.AirlineDAOImpl] - Booking done with following booking id:1231
2017-11-04 17:54:40,498 INFO [com.cg.dao.AirlineDAOImpl] - Booking done with following booking id:1
2017-11-04 17:55:23,200 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: pune
2017-11-04 17:55:23,220 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: mumbai
2017-11-04 17:55:23,309 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 17:55:27,693 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 17:55:27,728 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 17:55:40,876 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 17:55:40,916 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 17:55:58,821 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: asdafw
2017-11-04 17:58:20,772 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: fasf
2017-11-04 17:58:20,792 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: fasf
2017-11-04 17:58:31,356 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 17:58:31,432 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: himansh
2017-11-04 18:39:30,154 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: executive
2017-11-04 18:41:04,314 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Executive
2017-11-04 18:41:58,529 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Executive
2017-11-04 18:42:14,929 INFO [com.cg.dao.AirlineDAOImpl] - Flight occupany details checked for SG-519
2017-11-04 18:46:21,528 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Executive
2017-11-04 18:46:32,706 INFO [com.cg.dao.AirlineDAOImpl] - Flight occupany details checked for SG-519
2017-11-04 18:47:37,072 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Executive
2017-11-04 18:47:42,460 INFO [com.cg.dao.AirlineDAOImpl] - Flight occupany details checked for SG-519
2017-11-04 18:53:18,004 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Executive
2017-11-04 18:53:22,252 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 18:53:32,260 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 18:53:33,290 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-04 18:53:37,706 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 19:18:12,304 ERROR [com.cg.dao.AirlineDAOImpl] - Login failed with user name: iyu ORA-01017: invalid username/password; logon denied

2017-11-05 19:46:14,489 ERROR [com.cg.dao.AirlineDAOImpl] - Login failed with user name: Executive ORA-28009: connection as SYS should be as SYSDBA or SYSOPER

2017-11-05 19:51:48,331 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Executive
2017-11-05 19:51:59,813 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 19:51:59,878 INFO [com.cg.dao.AirlineDAOImpl] - Flight occupany details checked for SG-519
2017-11-05 19:51:59,930 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 19:53:41,383 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 19:53:41,428 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 19:53:52,143 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 19:55:34,801 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 19:55:34,868 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 19:55:47,243 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 19:55:59,000 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 19:56:11,494 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 19:56:11,516 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 19:56:36,043 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 19:56:36,089 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 19:56:49,598 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 20:00:37,200 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 20:00:37,266 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 20:00:48,180 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 20:00:57,229 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 20:00:57,276 INFO [com.cg.dao.AirlineDAOImpl] - Availability checked
2017-11-05 20:03:14,169 INFO [com.cg.dao.AirlineDAOImpl] - customer registered with following username intu
2017-11-05 20:05:42,805 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: pune
2017-11-05 20:05:42,946 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: mumbai
2017-11-05 20:05:43,065 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 20:05:48,343 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 20:05:48,464 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 20:06:02,083 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: intu
2017-11-05 20:06:02,122 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: intu
2017-11-05 20:06:12,472 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: intu
2017-11-05 20:06:12,512 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: intu
2017-11-05 20:06:18,763 INFO [com.cg.dao.AirlineDAOImpl] - Flight occupany details checked for 9W-617
2017-11-05 20:06:32,322 INFO [com.cg.dao.AirlineDAOImpl] - intubooked the tickets
2017-11-05 20:20:21,173 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: intu
2017-11-05 20:20:21,236 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: intu
2017-11-05 20:20:56,793 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: mumbai
2017-11-05 20:20:56,939 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: bangalore
2017-11-05 20:20:57,020 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 20:21:03,962 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 20:21:04,017 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 20:21:09,396 INFO [com.cg.dao.AirlineDAOImpl] - Flight occupany details checked for SG-415
2017-11-05 20:21:27,992 INFO [com.cg.dao.AirlineDAOImpl] - Booking information retrieved
2017-11-05 20:24:13,373 INFO [com.cg.dao.AirlineDAOImpl] - Booking done with following booking id:asf
2017-11-05 20:24:23,939 INFO [com.cg.dao.AirlineDAOImpl] - Booking done with following booking id:saf
2017-11-05 20:24:37,255 INFO [com.cg.dao.AirlineDAOImpl] - Booking done with following booking id:4
2017-11-05 21:00:14,655 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 21:00:38,908 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:00:38,949 INFO [com.cg.dao.AirlineDAOImpl] - Booking information retrieved
2017-11-05 21:00:38,980 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:03:57,460 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:03:57,524 INFO [com.cg.dao.AirlineDAOImpl] - Booking information retrieved
2017-11-05 21:03:57,565 INFO [com.cg.dao.AirlineDAOImpl] - List Passsengers of following was retrieved: 9W-617
2017-11-05 21:04:17,172 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:04:17,257 INFO [com.cg.dao.AirlineDAOImpl] - Booking information retrieved
2017-11-05 21:04:17,309 INFO [com.cg.dao.AirlineDAOImpl] - List Passsengers of following was retrieved: 9W-617
2017-11-05 21:05:10,649 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:05:10,702 INFO [com.cg.dao.AirlineDAOImpl] - Booking information retrieved
2017-11-05 21:05:10,734 INFO [com.cg.dao.AirlineDAOImpl] - List Passsengers of following was retrieved: 9W-617
2017-11-05 21:05:24,389 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:05:24,459 INFO [com.cg.dao.AirlineDAOImpl] - Booking information retrieved
2017-11-05 21:05:24,559 INFO [com.cg.dao.AirlineDAOImpl] - List Passsengers of following was retrieved: 9W-617
2017-11-05 21:09:10,056 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:09:10,133 INFO [com.cg.dao.AirlineDAOImpl] - Booking information retrieved
2017-11-05 21:09:10,186 INFO [com.cg.dao.AirlineDAOImpl] - List Passsengers of following was retrieved: 9W-617
2017-11-05 21:09:25,048 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 21:09:30,753 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:12:20,154 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 21:12:33,180 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 21:12:37,706 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:18:49,717 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
